Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1566079200.0 25406.0 369 0 134 NA NA NA NA NA 544 0 209 NA NA NA NA NA 1446 253 634 NA NA NA NA NA 2587 449 837 NA NA NA NA NA
1566079200.0 280.0 144 91 432 0 NA NA NA NA 259 368 543 0 NA NA NA NA 3028 470 1524 598 NA NA NA NA 2536 912 1860 2296 NA NA NA NA
1566079200.0 281.0 129 107 473 0 NA NA NA NA 273 379 600 0 NA NA NA NA 2258 492 1096 518 NA NA NA NA 1779 846 1290 630 NA NA NA NA
1566079200.0 3.0 94 76 221 NA NA NA NA NA 176 360 309 NA NA NA NA NA 5043 624 1012 NA NA NA NA NA 2890 1592 1115 NA NA NA NA NA
1566079200.0 31.0 NA 121 461 0 NA NA NA NA NA 376 566 0 NA NA NA NA NA 1865 2425 472 NA NA NA NA NA 1361 3087 1102 NA NA NA NA
1566079200.0 4.22 NA 196 67 66 0 NA NA NA NA 282 116 128 0 NA NA NA NA 912 303 372 208 NA NA NA NA 1512 454 735 292 NA NA NA
1566079200.0 4.24 NA 64 421 0 NA NA NA NA NA 107 511 0 NA NA NA NA NA 341 2673 583 NA NA NA NA NA 464 2082 657 NA NA NA NA
1566079200.0 4.28 NA 61 410 0 NA NA NA NA NA 117 510 0 NA NA NA NA NA 274 2381 1732 NA NA NA NA NA 563 3291 1870 NA NA NA NA
1566079200.0 4.42 NA 37 446 0 NA NA NA NA NA 85 538 0 NA NA NA NA NA 232 5332 526 NA NA NA NA NA 508 2728 639 NA NA NA NA
1566079200.0 4.45 NA 28 437 0 NA NA NA NA NA 81 538 0 NA NA NA NA NA 234 5643 537 NA NA NA NA NA 540 2779 616 NA NA NA NA
1566079200.0 4.61 NA 35 442 0 NA NA NA NA NA 83 544 0 NA NA NA NA NA 239 5674 543 NA NA NA NA NA 454 2728 612 NA NA NA NA
1566079200.0 4.62 NA 29 438 0 NA NA NA NA NA 83 536 0 NA NA NA NA NA 253 5539 547 NA NA NA NA NA 423 2701 2132 NA NA NA NA
1566079200.0 4.74 NA 28 434 0 NA NA NA NA NA 83 533 0 NA NA NA NA NA 231 5291 544 NA NA NA NA NA 582 2786 618 NA NA NA NA
1566079200.0 4.78 NA 47 437 0 NA NA NA NA NA 99 546 0 NA NA NA NA NA 268 6468 506 NA NA NA NA NA 765 3090 591 NA NA NA NA
